Escuela,Beca Asignada,BoletaAño
CECyT 1,Institucional B NMS,2023
CECyT 1,Institucional B NMS,2023
CECyT 1,Deportiva NMS,2023
CECyT 1,Institucional B NMS,2023
CECyT 1,Institucional B NMS,2023
CECyT 1,Institucional B NMS,2023
CECyT 1,Institucional B NMS,2023
CECyT 1,Deportiva NMS,2023
CECyT 1,Deportiva NMS,2023
CECyT 1,Institucional A NMS,2023
CECyT 1,Institucional B NMS,2023
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional A NMS,2024
CECyT 1,Institucional A NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional A NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional A NMS,2024
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional A NMS,2023
CECyT 1,Institucional A NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional B NMS,2024
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional A NMS,2025
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional B NMS,2025
CECyT 1,Institucional B NMS,2025
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Cultura NMS,2023
CECyT 2,Deportiva NMS,2023
CECyT 2,Deportiva NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Deportiva NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Deportiva NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional A NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2025
CECyT 2,Institucional B NMS,2025
CECyT 2,Institucional B NMS,2025
CECyT 2,Transporte IPN C NMS,2025
CECyT 2,Deportiva NMS,2025
CECyT 2,Institucional B NMS,2025
CECyT 2,Transporte IPN C NMS,2025
CECyT 2,Institucional A NMS,2025
CECyT 2,Deportiva NMS,2022
CECyT 2,Cultura NMS,2022
CECyT 2,Institucional B NMS,2023
CECyT 2,Deportiva NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Deportiva NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Institucional B NMS,2023
CECyT 2,Deportiva NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Deportiva NMS,2024
CECyT 2,Institucional A NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Deportiva NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
CECyT 2,Institucional B NMS,2024
